latitude,longitude,geometry
-122.31540430347039,37.86432454228625,POINT (-122.31540430347039 37.86432454228625)
-122.31879808248799,37.869835270631555,POINT (-122.31879808248799 37.869835270631555)
-122.25282661604123,37.85486638528881,POINT (-122.25282661604123 37.85486638528881)
-122.24354939207532,37.85501891373519,POINT (-122.24354939207532 37.85501891373519)
-122.24533689960475,37.85376399908287,POINT (-122.24533689960475 37.85376399908287)
-122.25991482786644,37.854440208325435,POINT (-122.25991482786644 37.854440208325435)
-122.31522530846203,37.86435810976086,POINT (-122.31522530846203 37.86435810976086)
-122.23011288499085,37.84954588222108,POINT (-122.23011288499085 37.84954588222108)
-122.23156772473979,37.849361030307655,POINT (-122.23156772473979 37.849361030307655)
-122.23194793128859,37.84967984029287,POINT (-122.23194793128859 37.84967984029287)
-122.24130642214283,37.8493867119501,POINT (-122.24130642214283 37.8493867119501)
-122.23994573376109,37.84945059311614,POINT (-122.23994573376109 37.84945059311614)
-122.24349057253839,37.84871069462809,POINT (-122.24349057253839 37.84871069462809)
-122.26545055140143,37.83797460294669,POINT (-122.26545055140143 37.83797460294669)
-122.26700005120696,37.89221992580944,POINT (-122.26700005120696 37.89221992580944)
-122.23959508672525,37.84954978970801,POINT (-122.23959508672525 37.84954978970801)
-122.26516334961576,37.83769766346578,POINT (-122.26516334961576 37.83769766346578)
-122.2282762716183,37.84866980453501,POINT (-122.2282762716183 37.84866980453501)
-122.22854404489502,37.84870156000471,POINT (-122.22854404489502 37.84870156000471)
-122.29775573190005,37.867992808920036,POINT (-122.29775573190005 37.867992808920036)
-122.30200542496615,37.86552640566226,POINT (-122.30200542496615 37.86552640566226)
-122.31163741685619,37.865964632534,POINT (-122.31163741685619 37.865964632534)
-122.30381412965875,37.866761538934476,POINT (-122.30381412965875 37.866761538934476)
-122.28749947750207,37.86969609345842,POINT (-122.28749947750207 37.86969609345842)
-122.28730797843575,37.86876192606576,POINT (-122.28730797843575 37.86876192606576)
-122.285731343558,37.87260560363861,POINT (-122.285731343558 37.87260560363861)
-122.2846207751496,37.87275012224652,POINT (-122.2846207751496 37.87275012224652)
-122.31796903934453,37.8682628665702,POINT (-122.31796903934453 37.8682628665702)
-122.30473575632719,37.87117528546545,POINT (-122.30473575632719 37.87117528546545)
-122.2846207751496,37.87275012224652,POINT (-122.2846207751496 37.87275012224652)
-122.2710493564357,37.874482413933556,POINT (-122.2710493564357 37.874482413933556)
-122.29748133445169,37.874523760633586,POINT (-122.29748133445169 37.874523760633586)
-122.24239659102014,37.84848317879446,POINT (-122.24239659102014 37.84848317879446)
-122.23987157635867,37.849781073397395,POINT (-122.23987157635867 37.849781073397395)
-122.26556052332342,37.83762560294446,POINT (-122.26556052332342 37.83762560294446)
-122.26482524867545,37.838495132492596,POINT (-122.26482524867545 37.838495132492596)
-122.26510252857886,37.837915621639056,POINT (-122.26510252857886 37.837915621639056)
-122.26422989734434,37.838490911485735,POINT (-122.26422989734434 37.838490911485735)
-122.31879808248799,37.869835270631555,POINT (-122.31879808248799 37.869835270631555)
-122.2610891490016,37.85502080881695,POINT (-122.2610891490016 37.85502080881695)
-122.23302547114007,37.8515858420387,POINT (-122.23302547114007 37.8515858420387)
-122.26181492578661,37.852662654059934,POINT (-122.26181492578661 37.852662654059934)
-122.22127862372184,37.8528248954417,POINT (-122.22127862372184 37.8528248954417)
-122.22099525007036,37.85319299233395,POINT (-122.22099525007036 37.85319299233395)
-122.25753759194741,37.8428809058,POINT (-122.25753759194741 37.8428809058)
-122.257754242531,37.84263414810694,POINT (-122.257754242531 37.84263414810694)
-122.25774799303603,37.84264125914268,POINT (-122.25774799303603 37.84264125914268)
-122.22012498903435,37.85414382750992,POINT (-122.22012498903435 37.85414382750992)
-122.24421790092381,37.85014343991236,POINT (-122.24421790092381 37.85014343991236)
-122.26703851749859,37.851915889345484,POINT (-122.26703851749859 37.851915889345484)
-122.23995971887842,37.850994097103325,POINT (-122.23995971887842 37.850994097103325)
-122.23983174315575,37.851765604338155,POINT (-122.23983174315575 37.851765604338155)
-122.23930856923138,37.85267674780083,POINT (-122.23930856923138 37.85267674780083)
-122.22240899787947,37.853053310030774,POINT (-122.22240899787947 37.853053310030774)
-122.25757333155859,37.842350340761975,POINT (-122.25757333155859 37.842350340761975)
-122.31822038706083,37.86830634066894,POINT (-122.31822038706083 37.86830634066894)
-122.22268085607783,37.852271026968076,POINT (-122.22268085607783 37.852271026968076)
-122.31419211508361,37.86367232748444,POINT (-122.31419211508361 37.86367232748444)
-122.31288342785368,37.86328728657664,POINT (-122.31288342785368 37.86328728657664)
-122.27276288736594,37.89025575608887,POINT (-122.27276288736594 37.89025575608887)
-122.30237704590161,37.86703621015204,POINT (-122.30237704590161 37.86703621015204)
-122.30237704590161,37.86703621015204,POINT (-122.30237704590161 37.86703621015204)
-122.30237487606611,37.86701239773116,POINT (-122.30237487606611 37.86701239773116)
-122.30311547836271,37.867012638617204,POINT (-122.30311547836271 37.867012638617204)
-122.30215105256161,37.867200997336674,POINT (-122.30215105256161 37.867200997336674)
-122.25628231220676,37.854064456535546,POINT (-122.25628231220676 37.854064456535546)
-122.29546093852716,37.877425080100565,POINT (-122.29546093852716 37.877425080100565)
-122.256926867431,37.87831108702049,POINT (-122.256926867431 37.87831108702049)
-122.25717316011611,37.877361770095575,POINT (-122.25717316011611 37.877361770095575)
-122.29002262838068,37.87388653911472,POINT (-122.29002262838068 37.87388653911472)
-122.26975977953295,37.87373471535506,POINT (-122.26975977953295 37.87373471535506)
-122.30795709526333,37.878006741373646,POINT (-122.30795709526333 37.878006741373646)
-122.26557243491328,37.87738745651705,POINT (-122.26557243491328 37.87738745651705)
-122.2947018077695,37.87321805748915,POINT (-122.2947018077695 37.87321805748915)
-122.29353081400654,37.87344255870604,POINT (-122.29353081400654 37.87344255870604)
-122.31683608529082,37.86841355453967,POINT (-122.31683608529082 37.86841355453967)
-122.28865207062677,37.87503280205815,POINT (-122.28865207062677 37.87503280205815)
-122.2621348191377,37.87483487371531,POINT (-122.2621348191377 37.87483487371531)
-122.28174279256777,37.88501022433234,POINT (-122.28174279256777 37.88501022433234)
-122.27847895281273,37.88503989164385,POINT (-122.27847895281273 37.88503989164385)
-122.27847895281273,37.88503989164385,POINT (-122.27847895281273 37.88503989164385)
-122.24737295728417,37.855490435375295,POINT (-122.24737295728417 37.855490435375295)
-122.26023734011156,37.85203216404077,POINT (-122.26023734011156 37.85203216404077)
-122.31042409446101,37.900989678894504,POINT (-122.31042409446101 37.900989678894504)
-122.24533689960475,37.85376399908287,POINT (-122.24533689960475 37.85376399908287)
-122.24339549830476,37.8539980207449,POINT (-122.24339549830476 37.8539980207449)
-122.31560689623842,37.86406327563544,POINT (-122.31560689623842 37.86406327563544)
-122.25322769349046,37.88393363155397,POINT (-122.25322769349046 37.88393363155397)
-122.25268772853491,37.88286216681748,POINT (-122.25268772853491 37.88286216681748)
-122.26482524867545,37.838495132492596,POINT (-122.26482524867545 37.838495132492596)
-122.26606523083034,37.837512160399726,POINT (-122.26606523083034 37.837512160399726)
-122.25725890113533,37.84280490644016,POINT (-122.25725890113533 37.84280490644016)
-122.2861589665438,37.87627514746503,POINT (-122.2861589665438 37.87627514746503)
-122.29250492628202,37.8760153934045,POINT (-122.29250492628202 37.8760153934045)
-122.30295857479054,37.877179473055726,POINT (-122.30295857479054 37.877179473055726)
-122.2917350282354,37.87642124490082,POINT (-122.2917350282354 37.87642124490082)
-122.28503036984633,37.876379298269775,POINT (-122.28503036984633 37.876379298269775)
-122.24652473558929,37.85485131750958,POINT (-122.24652473558929 37.85485131750958)
-122.22803079232888,37.84823840047528,POINT (-122.22803079232888 37.84823840047528)
-122.22787195302878,37.84820986873097,POINT (-122.22787195302878 37.84820986873097)
-122.2278462026321,37.84814585725006,POINT (-122.2278462026321 37.84814585725006)
-122.22787195302878,37.84820986873097,POINT (-122.22787195302878 37.84820986873097)
-122.21887837352868,37.854726370365924,POINT (-122.21887837352868 37.854726370365924)
-122.2171745374095,37.85482005600115,POINT (-122.2171745374095 37.85482005600115)
-122.25997713474594,37.84224926329056,POINT (-122.25997713474594 37.84224926329056)
-122.23156773450586,37.84936107498539,POINT (-122.23156773450586 37.84936107498539)
-122.31847293267116,37.86810759920391,POINT (-122.31847293267116 37.86810759920391)
-122.30491395477323,37.8661095296098,POINT (-122.30491395477323 37.8661095296098)
-122.30406727374982,37.866714292633766,POINT (-122.30406727374982 37.866714292633766)
-122.31581652878712,37.86528142446155,POINT (-122.31581652878712 37.86528142446155)
-122.31290606848752,37.8653107527691,POINT (-122.31290606848752 37.8653107527691)
-122.31450781502457,37.83921724800597,POINT (-122.31450781502457 37.83921724800597)
-122.26226332968379,37.85486593033362,POINT (-122.26226332968379 37.85486593033362)
-122.2610891490016,37.85502080881695,POINT (-122.2610891490016 37.85502080881695)
-122.24239740850763,37.85493625580881,POINT (-122.24239740850763 37.85493625580881)
-122.25877007220683,37.855324570361155,POINT (-122.25877007220683 37.855324570361155)
-122.28285341104761,37.88914070199815,POINT (-122.28285341104761 37.88914070199815)
-122.29877926674143,37.87488922962492,POINT (-122.29877926674143 37.87488922962492)
-122.26868134827694,37.87479259831554,POINT (-122.26868134827694 37.87479259831554)
-122.26758970353941,37.87493392210841,POINT (-122.26758970353941 37.87493392210841)
-122.30867536327249,37.8851579092146,POINT (-122.30867536327249 37.8851579092146)
-122.308233550482,37.88919616556375,POINT (-122.308233550482 37.88919616556375)
-122.28244359638035,37.87486851890776,POINT (-122.28244359638035 37.87486851890776)
-122.28968431039037,37.8709230756109,POINT (-122.28968431039037 37.8709230756109)
-122.22850206148948,37.848888663729184,POINT (-122.22850206148948 37.848888663729184)
-122.28820063440467,37.871112419924735,POINT (-122.28820063440467 37.871112419924735)
-122.29634262163647,37.87100254210676,POINT (-122.29634262163647 37.87100254210676)
-122.27090007085381,37.87360018622879,POINT (-122.27090007085381 37.87360018622879)
-122.26975977953295,37.87373471535506,POINT (-122.26975977953295 37.87373471535506)
-122.293267866354,37.8756096491634,POINT (-122.293267866354 37.8756096491634)
